Checkpoint,Model,Seed,Train_Time_s,CV_F1_Mean,CV_F1_Std,Accuracy,Precision,Recall,F1-Macro,Kappa,ROC-AUC
Week 4,Logistic Regression,42,0.011,0.7183163598704242,0.008224914216647616,0.7710843373493976,0.7372382371906679,0.7336227267522355,0.7353471785189847,0.47074431824140783,0.7995273934813611
Week 4,Random Forest,42,0.626,0.8071874665704156,0.016066006263377904,0.766566265060241,0.7327687047284834,0.7154315397187263,0.7223413755055021,0.44577275175013464,0.8051278848255832
Week 4,XGBoost,42,0.678,0.8164689839033189,0.01604440795979996,0.7439759036144579,0.7048502249650727,0.6938467464060044,0.6984495047177371,0.3975427772381329,0.7903563286593174
Week 4,Logistic Regression,123,0.022,0.7188994816259786,0.010882415877549559,0.7710843373493976,0.7372382371906679,0.7336227267522355,0.7353471785189847,0.47074431824140783,0.7995273934813611
Week 4,Random Forest,123,1.12,0.807533748337633,0.01232898291776011,0.7605421686746988,0.725169855176113,0.7097581795280181,0.7159851181108717,0.4329236851151599,0.8028897702549368
Week 4,XGBoost,123,0.728,0.8065228268558744,0.0063319225885601835,0.7424698795180723,0.703059881552972,0.6927380989558936,0.6970924137047916,0.39476770218119017,0.7794988705328794
Week 4,Logistic Regression,256,0.017,0.7210134778061172,0.010168806340744744,0.7710843373493976,0.7372382371906679,0.7336227267522355,0.7353471785189847,0.47074431824140783,0.7995273934813611
Week 4,Random Forest,256,1.023,0.8067358541572599,0.003932347845576919,0.7680722891566265,0.734740168143091,0.7165401871688372,0.7237369643918516,0.44864177028178287,0.8072098518680448
Week 4,XGBoost,256,0.535,0.8155775772400353,0.009953459381288117,0.75,0.7124326550221337,0.6933262546453889,0.7004750051630996,0.40261232453525553,0.781372640871095
Week 4,Logistic Regression,512,0.015,0.716029031144031,0.0059334973167987455,0.7710843373493976,0.7372382371906679,0.7336227267522355,0.7353471785189847,0.47074431824140783,0.7995273934813611
Week 4,Random Forest,512,0.84,0.8081845159042682,0.006132852472040094,0.7575301204819277,0.7214598605399607,0.7063021142375316,0.7124126038732725,0.42579064970780334,0.8073243600553803
Week 4,XGBoost,512,0.548,0.8167367672308261,0.007367585243585378,0.7454819277108434,0.7066293246951905,0.6912390826853211,0.6972625320027733,0.3957135164243404,0.78626526342088
Week 4,Logistic Regression,1024,0.018,0.7182223785862678,0.012783930577523826,0.7710843373493976,0.7372382371906679,0.7336227267522355,0.7353471785189847,0.47074431824140783,0.7995273934813611
Week 4,Random Forest,1024,0.943,0.8072477899498824,0.00961634015756113,0.7756024096385542,0.7442481884057971,0.7245609651999209,0.7323210869924001,0.4658575562562086,0.8074700977483527
Week 4,XGBoost,1024,0.469,0.8197755043438166,0.010072242597964427,0.7469879518072289,0.7085648069254626,0.6911089597451672,0.697750032513981,0.3969705815575233,0.7761885429353653
Week 8,Logistic Regression,42,0.016,0.8457476493156554,0.00886529752747382,0.8283132530120482,0.8018225990181354,0.8116756711741253,0.8062653562653563,0.6127249843956246,0.8922998448934554
Week 8,Random Forest,42,0.801,0.8700109741357706,0.009111835573639256,0.8418674698795181,0.8180803571428572,0.8204147278348584,0.8192241573776613,0.6384567517112633,0.8981189427771358
Week 8,XGBoost,42,0.402,0.8753101026389924,0.01046427221211071,0.8433734939759037,0.8202846048947046,0.8202846048947046,0.8202846048947046,0.640569209789409,0.8927370579723725
Week 8,Logistic Regression,123,0.025,0.8495602753674131,0.01004399553764754,0.8283132530120482,0.8018225990181354,0.8116756711741253,0.8062653562653563,0.6127249843956246,0.8922998448934554
Week 8,Random Forest,123,0.811,0.871209040493645,0.007240086177240703,0.8433734939759037,0.8202846048947046,0.8202846048947046,0.8202846048947046,0.640569209789409,0.9008775491083977
Week 8,XGBoost,123,0.428,0.8743660489993758,0.01189712760620866,0.8478915662650602,0.8269703650315852,0.8211330064645077,0.8239193847785733,0.6478840701459624,0.8894163205396457
Week 8,Logistic Regression,256,0.015,0.84718945909561,0.006064759498497413,0.8283132530120482,0.8018225990181354,0.8116756711741253,0.8062653562653563,0.6127249843956246,0.8922998448934554
Week 8,Random Forest,256,0.782,0.8654871665229138,0.0058145665858712605,0.8418674698795181,0.8183904465212877,0.8191759574445936,0.8187805898728189,0.6375621218107338,0.8987955820659359
Week 8,XGBoost,256,1.573,0.8682033161139444,0.012635701264192327,0.838855421686747,0.8146494708994709,0.8169586625443719,0.8157808079943787,0.6315702136486206,0.8963284511206187
Week 8,Logistic Regression,512,0.017,0.8471644829936578,0.007888982646311635,0.8283132530120482,0.8018225990181354,0.8116756711741253,0.8062653562653563,0.6127249843956246,0.8922998448934554
Week 8,Random Forest,512,1.039,0.8712224695434605,0.00803803260526811,0.8448795180722891,0.8218380062305296,0.8226320227350801,0.8222323881609557,0.6444657004429103,0.8988684509124222
Week 8,XGBoost,512,0.4,0.8772215042838776,0.005986274195317124,0.8463855421686747,0.823740670185191,0.823740670185191,0.823740670185191,0.6474813403703819,0.8908528777989445
Week 8,Logistic Regression,1024,0.015,0.8485322887637764,0.005719115198546602,0.8283132530120482,0.8018225990181354,0.8116756711741253,0.8062653562653563,0.6127249843956246,0.8922998448934554
Week 8,Random Forest,1024,0.929,0.8687627705628259,0.006485244027295424,0.8463855421686747,0.8241214441898663,0.8225018997949263,0.8233010519285356,0.6466057918079833,0.8995971393772837
Week 8,XGBoost,1024,0.426,0.8719437203337798,0.008321576466782976,0.8403614457831325,0.8168285396042181,0.8168285396042181,0.8168285396042181,0.6336570792084362,0.8903844352143905
Week 12,Logistic Regression,42,0.087,0.8596201044850178,0.005932268997206947,0.858433734939759,0.8355251834978487,0.8449975536887251,0.8398850751628957,0.6798883999548677,0.9219262359076856
Week 12,Random Forest,42,0.909,0.8816944344719057,0.005350648873620625,0.8689759036144579,0.8485312872834986,0.8527580858395012,0.8505769424764683,0.7011732086324981,0.9245286947107628
Week 12,XGBoost,42,0.538,0.8862756254648666,0.00942823478455577,0.8629518072289156,0.8417019788538281,0.8458459552585282,0.8437069168432025,0.6874340458110038,0.915836482308485
Week 12,Logistic Regression,123,0.023,0.8605474355802295,0.005054525297946636,0.858433734939759,0.8355251834978487,0.8449975536887251,0.8398850751628957,0.6798883999548677,0.9219262359076856
Week 12,Random Forest,123,0.767,0.8854627737959582,0.007143076479504936,0.8704819277108434,0.8496470996802958,0.8563442740701415,0.8528232249817008,0.7056949956192341,0.9243725471825782
Week 12,XGBoost,123,0.452,0.8883954849189598,0.005528391064009588,0.8659638554216867,0.8464476540323927,0.8455857093782205,0.8460139404599049,0.6920286833986492,0.9194799246327932
Week 12,Logistic Regression,256,0.022,0.8589474588681888,0.0082903196057393,0.858433734939759,0.8355251834978487,0.8449975536887251,0.8398850751628957,0.6798883999548677,0.9219262359076856
Week 12,Random Forest,256,1.063,0.8814082477622455,0.011850125272018147,0.8704819277108434,0.8500333487250527,0.8551055036798767,0.8524718915343915,0.7049712225012141,0.9251636946587135
Week 12,XGBoost,256,0.453,0.8843566724531581,0.0077826025830320155,0.875,0.858640352736677,0.8522375940788858,0.8553000884814018,0.7106374041793553,0.9192925475989715
Week 12,Logistic Regression,512,0.019,0.8583641606857831,0.009245789071073549,0.858433734939759,0.8355251834978487,0.8449975536887251,0.8398850751628957,0.6798883999548677,0.9219262359076856
Week 12,Random Forest,512,0.764,0.8826261597639687,0.004143224481154376,0.8719879518072289,0.8519459414983338,0.8562141511299877,0.8540119552931013,0.7080427900432453,0.9258611536179382
Week 12,XGBoost,512,0.443,0.8905423528344432,0.006110837635456778,0.8629518072289156,0.8425233644859813,0.8433684144779987,0.8429431778897765,0.6858871722359693,0.9180850067143438
Week 12,Logistic Regression,1024,0.023,0.8600030401849669,0.012740185192010853,0.858433734939759,0.8355251834978487,0.8449975536887251,0.8398850751628957,0.6798883999548677,0.9219262359076856
Week 12,Random Forest,1024,0.848,0.8794323324124231,0.011673549276509711,0.8674698795180723,0.8459168420731522,0.8541269791699198,0.8497552145472498,0.6995876733879676,0.9245286947107627
Week 12,XGBoost,1024,0.439,0.8805198951354563,0.009780982508404036,0.8659638554216867,0.8464476540323927,0.8455857093782205,0.8460139404599049,0.6920286833986492,0.9158781216493344
